Gender Identity,Age,Date of Birth,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement
Female,75,1946-02-14,Widowed,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,20 years,Master's Degree,History,Retired Educator,Middle,Middle Class,Retired,Owner,Caucasian,['English'],Christianity,Celebrates national and religious holidays.,Citizen,"['Reading', 'Gardening', 'Travel']",Online Shopping,Pescetarian,Low,Occasional,Annual,"Occasional Wine, Non-Smoker",Intermediate,Two Adult Children,1-person,One Cat,Widowed,None,Good,Arthritis,Healthy,National Health Service,Good,Labour Party,Always votes,Occasional
Female,76,1945-05-06,Widowed,Heterosexual,British,United Kingdom,England,London,Urban,Flat,31 years,Bachelor's degree,English Literature,Retired Teacher,Middle-class,Working-class,Retired,Owner,Caucasian,English,Christian,Attending church weekly,Non-immigrant,"Gardening, Reading",Online,Balanced Diet,Moderate,Low,Occasional,"Non-smoker, Social drinker",Moderate,Two adult children,1,Dog,Widowed,For Her Grandchildren,Good,Hypertension,Satisfactory,Public Health Insurance,Regular,Labour Party,Regular Voter,Low
Male,75,1946-05-13,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached House,25 years,Bachelor's Degree,Business Administration,Retired,Upper Middle,Upper Middle,Retired,Owned,White,English,Christianity,"Christmas, Easter",non-immigrant,"Reading, Golf",Online,Balanced,Moderate,Facebook,Once a year,"Occasional drinker, Non-smoker",Moderate,"2 children, 4 grandchildren",2,Dog,Married,None,Good,None,Good,Private,Good,Labour,Regular voter,Occasionally
Female,85,1935-01-30,Widowed,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,25 years,Master's Degree,English Literature,Retired Professor,Middle,Upper Middle,Retired,Own,White,English,Christianity,Celebrates Christmas and Easter,Native Born,"Reading, listening to classical music",Online,Omnivore,Low,Low,Rarely,"Does not use tobacco, Occasionally drinks wine",Basic,"Two children, four grandchildren",1,Owns a cat,Widowed,None,Good,Arthritis,Good,Insured,Good,Labour Party,Always Votes,Medium
Female,75,15/06/1945,Widowed,Heterosexual,British,United Kingdom,England,London,Urban,Flat,20 years,Bachelor's Degree,English Literature,Retired Teacher,Middle,Middle Class,Retired,Owner,Caucasian,English,Christianity,Attends church weekly,Citizen,"Reading, Gardening","Online, M&S",No specific diet,"Light, walks daily",Facebook daily,Annual holiday in Spain,"Social drinker, non-smoker","Basic, uses smartphone for calls and messages","2 sons, 3 grandchildren",1,Owns a cat,Widowed,None,Good,Arthritis,Good,NHS,Local GP,Labour Party,Regular Voter,Low
Male,75,1945-08-15,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached house,45 years,Masters,Economics,Retired,High,Upper middle class,Retired,Own,White,English,Christian,Traditional,Native born,"Golfing, Reading, and Travelling",Online and In-store,Non-Vegetarian,Moderately active,Medium,Frequent,"Non-smoker, Moderate drinker",Active,2 children,3,2 Dogs,Married,None,Good,None,Good,Private,Easy,Conservative Party,Regular Voter,Active
Female,75,1945-06-23,Widow,Heterosexual,British,United Kingdom,England,London,Urban,Retirement Community,5 years,Master's Degree,English Literature,Retired,Low,Middle Class,Retired,Owner,Caucasian,English,Christianity,Attends Church Weekly,Non-immigrant,"Reading, Gardening",Online Shopping,Vegetarian,Low,Low,Annual,"Non-smoker, Occasional Alcohol",Low,Two grown-up children,1,Cat,Single,None,Good,Arthritis,Good,Insured,Good,Labour Party,Always Votes,Occasional
Female,85,1936-07-14,Widowed,Heterosexual,British,United Kingdom,England,Birmingham,Urban,House,30 years,High school,Literature,Retired Nurse,Lower,Working Class,Retired,Owner,White,English,Christianity,Celebrates Christmas and Easter,Citizen,"Reading, knitting, gardening","Online shopping, Supermarket",Balanced diet,Low,Rare,Domestic travel,Non-smoker and Occasional drinker,Basic,Two adult children,1,A cat,Widowed,None,Stable,Arthritis,Stable,Public Health Insurance,Access to Primary Healthcare,Labour Party,Regular voter,Low
Male,85,06/28/1935,Widowed,Heterosexual,English,United Kingdom,England,Manchester,Urban,Detached house,30 years,Bachelor degree,History,Retired,Low,Working class,Retired,Owner,White British,English,Christian,"Sunday church, afternoon tea",Citizen,"Gardening, reading history books","Online, supermarket","Healthy, no specific diet",Low,Low,Local travel only,"Non-smoker, occasional drinker",Basic level user,"3 children, 7 grandchildren",1,No pets,Single,None,Fair,Arthritis,Good,State provided,Good,Labour party,Regular voter,Moderate
Male,75,01/04/1946,Married,Heterosexual,British,United Kingdom,Surrey,Epsom,Urban,Bungalow,25 years,Graduate Degree,Engineering,Retired,Middle,Middle Class,Retired,Own,White British,English,Anglican,Traditional British,Non-immigrant,"Gardening, Reading novels",Online,Non-Vegetarian,Moderate,Occasional,Annual vacations within UK,"Occasional social drinker, Non-smoker",Moderate,Two Children,2,Dog,Married,Spouse,Good,Arthritis,Good,Covered by NHS,Regular,Conservative Party,Regular Voter,Occasionally Engaged
